877 1565
390 115 0.421
115 846 0.746
846 765 1.041
765 806 0.658
806 295 0.387
295 666 0.504
666 440 0.650
440 441 0.389
441 650 0.822
650 350 0.389
350 616 0.382
616 181 0.186
334 517 0.055
517 798 1.861
798 791 7.827
791 239 0.087
239 703 0.895
703 325 0.108
325 282 0.194
282 712 0.068
712 290 0.711
290 528 0.063
528 233 0.628
233 725 0.667
725 312 0.080
312 376 0.391
376 768 0.041
768 266 0.221
266 196 0.650
196 631 1.372
631 94 0.209
94 259 1.164
259 825 0.756
825 382 0.554
382 507 0.214
507 591 0.051
591 464 0.489
464 251 0.289
251 654 0.055
654 837 3.489
837 494 3.304
494 865 0.339
865 361 0.019
361 603 0.071
603 484 0.293
484 390 2.298
390 39 2.076
39 839 0.055
839 404 1.981
404 136 1.805
136 115 1.717
115 147 1.661
147 189 1.528
189 846 0.573
846 760 0.086
760 84 0.528
84 284 0.052
284 873 90.311
261 781 0.331
781 787 0.222
787 250 0.429
250 31 0.124
31 409 0.366
409 793 0.236
793 600 0.287
600 783 0.480
783 265 0.268
265 41 0.492
41 53 0.960
53 566 1.011
566 527 0.742
527 454 0.050
454 94 0.777
94 260 0.374
260 745 0.857
745 737 0.459
737 117 0.069
117 518 0.198
518 61 0.400
61 559 0.959
559 665 0.045
665 828 0.291
828 632 0.036
858 5 31.863
5 875 1.373
172 551 0.750
551 261 0.570
261 329 0.708
329 562 0.497
562 92 1.646
92 358 0.696
358 143 0.289
143 369 0.636
369 177 0.382
177 776 0.349
776 389 0.860
389 28 0.485
28 64 0.458
64 550 0.269
550 81 0.035
81 67 0.217
67 302 0.679
302 333 0.427
333 695 1.184
695 164 0.074
164 16 0.214
16 393 0.363
393 553 0.385
553 379 0.461
379 725 1.581
725 376 0.402
376 768 0.041
768 631 0.927
631 209 0.049
209 803 0.185
803 94 0.174
188 239 1.766
239 791 0.087
791 785 2.661
785 504 0.621
504 546 8.086
546 238 1.299
521 110 0.667
110 323 0.731
323 735 0.631
735 710 0.685
710 565 0.881
565 95 0.936
95 74 0.791
74 730 0.604
730 180 0.545
180 679 0.597
679 450 0.580
450 548 0.704
548 135 0.948
135 308 0.815
308 413 2.769
413 34 0.034
801 382 0.500
382 158 0.028
158 142 0.829
142 700 0.777
700 392 0.131
392 17 0.152
17 311 0.010
311 778 0.591
778 528 0.566
528 290 0.063
290 282 0.773
282 325 0.194
325 239 0.986
239 791 0.087
791 49 17.751
201 709 0.159
709 611 0.464
611 465 0.852
465 776 0.066
776 177 0.349
177 429 0.367
429 358 0.921
358 555 1.714
555 107 0.692
107 746 0.039
746 446 0.282
446 418 0.634
418 294 0.043
294 414 0.468
414 668 0.738
668 681 0.447
681 268 0.613
268 345 0.599
345 440 0.494
440 80 0.047
80 162 0.308
162 44 0.906
44 18 0.048
18 275 0.256
275 616 0.439
616 181 0.186
575 47 0.033
47 342 0.237
342 210 0.852
210 19 0.626
19 399 0.243
399 538 0.044
538 2 0.013
2 23 1.048
23 420 0.134
420 163 0.231
163 653 0.252
653 608 1.239
608 627 0.302
627 672 2.630
672 27 1.333
27 604 0.986
604 844 0.883
844 247 0.767
247 501 0.220
501 249 0.252
34 116 2.577
116 723 0.661
723 197 0.524
197 236 0.462
236 575 0.793
575 373 0.779
373 210 0.329
210 19 0.626
19 3 0.384
3 20 0.669
20 529 0.483
529 166 0.428
166 520 0.405
520 431 0.361
431 595 0.343
595 111 0.423
111 783 0.583
783 497 0.473
497 736 0.292
85 618 4.267
618 451 1.868
451 178 1.546
178 234 1.443
234 187 1.478
187 154 0.898
154 501 0.988
501 724 0.754
724 30 0.918
30 27 1.163
27 57 0.354
57 447 0.854
447 804 0.469
804 6 0.397
6 627 2.215
627 562 0.051
562 608 0.291
608 655 1.242
655 328 0.498
328 525 0.042
525 643 0.180
643 697 0.079
697 595 0.461
595 111 0.423
720 380 2.443
380 847 1.543
847 837 5.914
837 346 1.442
346 63 3.746
63 61 1.211
61 517 7.142
517 687 1.178
687 647 0.251
191 736 1.115
736 783 0.654
783 849 0.835
849 790 0.302
790 185 0.330
185 787 0.993
787 612 0.719
612 457 0.403
457 541 0.647
541 486 0.284
486 814 0.152
814 70 0.898
70 130 0.716
130 262 0.060
262 58 2.110
58 804 0.616
804 672 0.257
672 841 0.739
841 57 0.496
57 558 0.400
558 708 1.004
708 460 0.723
460 83 5.957
83 530 2.693
530 810 2.650
810 613 0.743
613 799 1.185
799 719 0.574
719 263 0.109
263 581 0.471
403 739 0.426
739 599 0.696
599 141 0.424
141 184 0.660
184 401 1.531
401 106 1.067
106 647 3.269
647 151 0.082
151 732 0.359
732 664 0.132
287 148 0.382
148 707 0.439
707 589 0.482
589 170 0.582
170 828 1.011
828 665 0.291
665 332 0.976
332 518 0.412
518 117 0.198
117 204 0.500
204 838 0.791
838 142 0.620
142 137 0.229
137 158 0.605
158 198 0.326
198 801 0.190
801 617 0.956
421 808 0.359
808 336 0.867
336 255 0.836
255 637 0.447
637 173 0.677
173 543 0.410
543 88 0.566
88 384 0.906
384 9 0.518
9 771 0.627
771 304 0.511
304 577 0.776
577 621 0.988
621 670 0.480
670 607 0.698
607 789 13.331
789 238 4.837
238 546 1.299
546 618 1.379
618 451 1.868
451 178 1.546
178 234 1.443
234 614 0.156
614 187 1.535
187 159 0.324
159 154 0.661
154 501 0.988
501 247 0.220
247 724 0.606
724 30 0.918
30 604 0.177
604 558 0.678
558 27 0.315
27 841 0.593
841 447 0.456
447 672 0.322
672 58 0.786
58 804 0.616
804 92 2.852
92 32 0.049
32 358 0.690
358 747 0.069
747 605 0.166
261 521 0.098
521 457 0.739
457 560 0.083
560 185 0.602
185 786 0.369
786 638 0.633
638 817 0.343
817 706 0.835
706 743 0.146
743 761 0.215
761 55 0.527
55 200 0.177
200 296 0.777
296 836 0.412
836 397 0.377
397 425 0.247
425 50 0.511
50 458 0.195
458 218 0.753
218 233 0.908
233 528 0.628
528 712 0.763
712 282 0.068
282 239 1.022
239 791 0.087
791 48 3.247
48 235 0.683
579 346 0.622
346 37 0.733
37 243 0.385
243 189 0.399
189 404 0.314
404 120 0.418
120 320 0.325
320 846 1.328
846 765 1.041
765 452 0.331
452 806 0.425
806 295 0.387
295 211 0.334
211 423 1.129
423 71 1.086
71 20 0.361
20 163 0.527
163 655 0.327
655 261 0.361
261 521 0.098
52 605 0.269
605 667 0.392
667 492 0.589
492 55 0.233
55 721 0.257
721 753 0.446
753 743 0.234
743 757 0.683
757 769 0.757
769 801 1.208
801 507 0.518
507 464 0.508
464 654 0.289
654 865 0.532
865 361 0.019
361 797 0.785
797 705 0.363
705 232 0.551
232 579 0.066
664 732 0.132
732 341 0.484
341 798 1.987
798 837 1.022
837 390 0.618
390 404 0.286
404 115 0.138
115 189 0.177
189 846 0.573
846 765 1.041
765 354 0.085
354 437 0.392
437 124 0.067
124 169 0.399
169 809 0.420
809 294 0.353
294 418 0.043
418 433 0.329
433 446 0.310
446 746 0.282
746 819 0.610
819 638 0.191
638 696 0.312
696 817 0.211
817 749 0.522
749 335 0.349
335 432 0.517
432 612 0.167
612 457 0.403
457 212 0.244
212 787 0.180
787 424 0.060
424 781 0.192
781 874 86.697
874 860 1.885
181 616 0.186
616 350 0.382
350 275 0.089
275 18 0.256
18 441 0.884
441 162 0.062
162 80 0.308
80 440 0.047
440 36 0.435
36 345 0.068
345 132 0.571
132 268 0.037
268 783 0.618
783 269 0.353
269 600 0.128
600 655 1.837
655 111 1.643
111 525 1.131
525 595 0.709
595 328 0.724
328 697 0.264
697 643 0.079
643 431 0.193
431 261 0.869
261 329 0.708
329 608 0.209
608 562 0.291
562 289 0.700
289 70 0.362
70 58 2.243
58 6 0.414
6 804 0.397
804 672 0.257
672 146 0.346
146 447 0.176
447 857 124.390
803 439 0.329
439 693 0.614
693 759 0.871
759 484 0.317
484 39 0.326
39 136 0.328
136 84 0.964
84 816 0.569
816 635 0.540
635 194 0.372
194 728 1.119
728 734 0.407
734 102 0.417
102 852 0.681
852 633 0.351
633 573 0.311
573 584 0.460
584 145 0.502
145 362 0.787
362 172 0.645
172 323 0.025
332 86 0.349
86 518 0.077
518 737 0.253
737 204 0.440
204 838 0.791
838 133 0.398
133 142 0.240
142 137 0.229
137 158 0.605
158 198 0.326
198 801 0.190
801 617 0.956
617 757 0.998
757 819 0.405
819 696 0.275
696 817 0.211
817 335 0.570
335 185 0.237
185 560 0.602
560 457 0.083
457 787 0.320
787 541 0.696
541 627 0.264
627 70 1.048
70 130 0.716
130 58 2.056
58 804 0.616
804 672 0.257
672 146 0.346
146 57 0.922
